,0,1,2,3,4,5,6
319,0,11.3,9,Monitoreo de agua y electricidad,0,20.47,1
320,1,11.35,1,Deteccion de terremotos,1,20.0,0
321,1,11.35,4,Deteccion de terremotos,1,20.0,0
322,1,11.35,8,Deteccion de terremotos,1,20.0,0
323,1,11.35,12,Deteccion de terremotos,1,20.0,0
324,1,11.35,23,Deteccion de terremotos,1,20.0,0
325,1,11.35,29,Deteccion de terremotos,1,20.0,0
326,1,11.35,33,Deteccion de terremotos,1,20.0,0
327,1,11.35,36,Deteccion de terremotos,1,20.0,0
328,1,11.35,44,Deteccion de terremotos,1,20.0,0
329,1,11.35,54,Deteccion de terremotos,1,20.0,0
330,1,11.35,60,Deteccion de terremotos,1,20.0,0
331,1,11.35,62,Deteccion de terremotos,1,20.0,0
332,1,11.35,72,Deteccion de terremotos,1,20.0,0
333,1,11.35,84,Deteccion de terremotos,1,20.0,0
334,1,11.35,89,Deteccion de terremotos,1,20.0,0
335,1,11.35,93,Deteccion de terremotos,1,20.0,0
336,1,11.35,96,Deteccion de terremotos,1,20.0,0
337,1,11.35,99,Deteccion de terremotos,1,20.0,0
338,1,11.35,102,Deteccion de terremotos,1,20.0,0
339,1,11.35,103,Deteccion de terremotos,1,20.0,0
340,1,11.35,108,Deteccion de terremotos,1,20.0,0
341,1,11.35,109,Deteccion de terremotos,1,20.0,0
342,1,11.35,111,Deteccion de terremotos,1,20.0,0
343,1,11.35,117,Deteccion de terremotos,1,20.0,0
344,1,11.35,118,Deteccion de terremotos,1,20.0,0
345,1,11.35,123,Deteccion de terremotos,1,20.0,0
346,1,11.35,131,Deteccion de terremotos,1,20.0,0
347,1,11.35,135,Deteccion de terremotos,1,20.0,0
348,1,11.35,159,Deteccion de terremotos,1,20.0,0
349,1,11.35,165,Deteccion de terremotos,1,20.0,0
350,1,11.35,167,Deteccion de terremotos,1,20.0,0
351,1,11.35,178,Deteccion de terremotos,1,20.0,0
352,1,11.35,197,Deteccion de terremotos,1,20.0,0
353,1,11.35,198,Deteccion de terremotos,1,20.0,0
354,1,11.35,203,Deteccion de terremotos,1,20.0,0
355,1,11.35,211,Deteccion de terremotos,1,20.0,0
356,1,11.35,213,Deteccion de terremotos,1,20.0,0
357,1,11.35,218,Deteccion de terremotos,1,20.0,0
358,1,11.35,221,Deteccion de terremotos,1,20.0,0
359,1,11.35,229,Deteccion de terremotos,1,20.0,0
360,1,11.35,234,Deteccion de terremotos,1,20.0,0
361,1,11.35,235,Deteccion de terremotos,1,20.0,0
